id,id_sales,id_customer,id_courier,shipping_number,po_number,sub_total,total_before_tax,total_after_tax,tax,payment_status,order_status,shipping_status,description,order_date,delivery_date,delivered_date,done_date,file_url,note,required_dp,created_at,updated_at,file_customer,id_company,review_date,reject_date,approved_date,process_date,ready_date,image_po_delivered
0b24abd3-53be-4be8-88fa-751375626d43,25,d5ae051d-672b-4dd2-8ad4-2483d80db19c,,,PO/02/0013,7387387,6574775,8200000,0,0,8,0,"INCLUDE SMARTPRESS
JET 62 menggunakan stok lombok
mohon dikirimkan smartpressnya 4 unit",2024-02-09 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-0-20240424-054458-f56c020ad441488c.xlsx,,0,2024-02-09 16:34:44,2024-02-09 17:55:34,,e44b7e5a-fa1c-45cc-a5fa-9c73e5f1ad21,2024-02-09 17:55:31,NULL,2024-02-09 17:55:34,NULL,NULL,
0ce01aee-52ec-43de-bce6-02f4cf7a7da0,25,50a58b80-6e9f-4be4-a74c-b4c6af240429,,,PO/02/0017,4972613,4425625,5519600,0,0,8,0,"Include pasir silika 2 sak 
semua Barang menggunakan stok lombok",2024-02-12 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-1-20240424-054458-7c13af9fe32e130c.xlsx,,0,2024-02-12 15:37:00,2024-02-12 15:44:57,,e44b7e5a-fa1c-45cc-a5fa-9c73e5f1ad21,2024-02-12 15:44:52,NULL,2024-02-12 15:44:57,NULL,NULL,
0db320dc-4645-4ca4-9efb-30d690eec224,25,3a3c8c1d-386a-4372-b76c-6e57ee61182a,,,PO/01/0015,17536486,15607473,19465500,0,0,9,0,POMPA + PANEL DIKIRIM MINGGU INI,2024-01-03 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-2-20240424-054500-35e7e9cd7de68456.pdf,"Pompa Ready, Pesanan Pembelian #10659 (Panel) beli Fery",0,2024-01-03 12:05:16,2024-01-04 13:25:26,https://sangsuratma.bimasaktisanjaya.com/documents/0659d627ff033c09.xlsx,16d26d32-c21b-4033-ab33-64f572399054,2024-01-03 12:35:47,NULL,2024-01-03 12:35:50,2024-01-03 19:39:20,NULL,
0f47a135-e998-4e74-8f5b-51ef71f3cb12,25,b24d9f76-b5bf-417e-ab79-9017bdc1dda5,,,PO/01/0056,504504,449009,560000,0,0,3,0,Barang dikirim hari ini ke kantor lombok,2024-01-11 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-3-20240424-054500-3902475f9884f39c.xlsx,,0,2024-01-11 9:47:13,2024-01-15 9:24:51,,e44b7e5a-fa1c-45cc-a5fa-9c73e5f1ad21,2024-01-11 12:36:14,NULL,2024-01-11 12:36:16,2024-01-15 9:23:48,2024-01-15 9:24:51,
2d97d7f2-3a37-4a77-9df2-eef72eb3f2e9,6cf56062-8dcf-4f90-a0d8-c7c77ed62412,21886f24-5037-4d5f-8ebf-594556ba06d6,,,PO/01/0085,12905000,11485450,14324550,0,0,8,0,karcher,2024-01-22 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-4-20240424-054501-10fa53374fd571e5.pdf,,0,2024-01-22 14:07:49,2024-01-23 9:41:19,,d89706e7-6292-4065-a1f8-38c80fcf8412,2024-01-23 9:41:16,NULL,2024-01-23 9:41:19,NULL,NULL,
2e3dadab-8c8f-4e05-bb0e-f337bee390d3,25,d5ae051d-672b-4dd2-8ad4-2483d80db19c,,,PO/02/0019,46081081,41012162,51150000,0,0,8,0,PRESSURE TRANSMITTER + PRESSURE GAUGE (HARGA DIGABUNG),2024-02-12 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-5-20240424-054502-b315377c7c26557c.xlsx,,0,2024-02-12 16:12:34,2024-02-12 17:34:17,,16d26d32-c21b-4033-ab33-64f572399054,2024-02-12 17:34:13,NULL,2024-02-12 17:34:17,NULL,NULL,
3202eb77-c2d4-413d-9e57-81e349a5ede9,25,7fbf1164-5014-4837-8f49-2a09019973e8,,,PO/01/0052,9927928,8835856,11020000,0,0,2,0,Tolong di orderkan dan dikirim ke kantor lombok,2024-01-10 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-6-20240424-054502-61c167fbd3e711d4.xlsx,Purchase Order #16873,0,2024-01-10 16:17:10,2024-01-22 11:00:38,,d89706e7-6292-4065-a1f8-38c80fcf8412,2024-01-10 17:16:23,NULL,2024-01-10 17:16:26,2024-01-22 11:00:38,NULL,
395ca9fa-a530-4ae8-9569-b690a055147c,25,0aafc862-bfb0-40bf-829f-2972af0b4aa0,,,PO/02/0006,10900901,9701802,12100000,0,0,8,0,"CMB 3-37 menggunakan stok lombok
NS 4-23 dkkirim hari ini ke kantor lombok",2024-02-06 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-7-20240424-054503-554405c662f309ea.xlsx,,0,2024-02-06 11:03:45,2024-02-06 11:35:07,,d89706e7-6292-4065-a1f8-38c80fcf8412,2024-02-06 11:35:04,NULL,2024-02-06 11:35:07,NULL,NULL,
396da68b-166a-48ec-ad8f-9766d938f0fd,18,8fa7569c-4a32-4150-bd25-fed39935c1fb,,,PO/12/0009,15000000,15000000,15000000,0,0,0,0,POLYSHER KHAERCER,2023-11-27 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/images/file-8-20240424-054503-0e74db43735083a4.jpg,,0,2023-12-21 9:54:23,2023-12-21 10:24:52,https://sangsuratma.bimasaktisanjaya.com/images/e4097d90f33bf6ea.png,d89706e7-6292-4065-a1f8-38c80fcf8412,NULL,NULL,NULL,NULL,NULL,
486a66b8-b955-4633-a8a7-5e31dfaa19f8,29,02d905e4-4742-4d4c-bf99-ee9be673eb0a,,,PO/01/0082,31972973,28455946,35490000,0,0,8,0,V650 Include pasir Silika (3 sak/filter),2024-01-22 8:00:00,NULL,NULL,NULL,http://sangsuratma.tech-bss.com/documents/file-9-20240424-054504-bebc6e27d0982d4c.xlsx,,0,2024-01-22 11:14:42,2024-01-22 11:25:09,,e44b7e5a-fa1c-45cc-a5fa-9c73e5f1ad21,2024-01-22 11:25:07,NULL,2024-01-22 11:25:09,NULL,NULL,
