mfcc_Hindia-Mata Air_0,mfcc_Hindia-Mata Air_1,mfcc_Hindia-Mata Air_2,mfcc_Hindia-Mata Air_3,mfcc_Hindia-Mata Air_4,mfcc_Hindia-Mata Air_5,mfcc_Hindia-Mata Air_6,mfcc_Hindia-Mata Air_7,mfcc_Hindia-Mata Air_8,mfcc_Hindia-Mata Air_9,mfcc_Hindia-Mata Air_10,mfcc_Hindia-Mata Air_11,mfcc_Hindia-Mata Air_12,mfcc_Hindia-Mata Air_13,mfcc_Hindia-Mata Air_14,mfcc_Hindia-Mata Air_15,mfcc_Hindia-Mata Air_16,mfcc_Hindia-Mata Air_17,mfcc_Hindia-Mata Air_18,mfcc_Hindia-Mata Air_19,mfcc_Hindia-Mata Air_20,mfcc_Hindia-Mata Air_21,mfcc_Hindia-Mata Air_22,mfcc_Hindia-Mata Air_23,mfcc_Hindia-Mata Air_24,mfcc_Hindia-Mata Air_25,mfcc_Hindia-Mata Air_26,mfcc_Hindia-Mata Air_27,mfcc_Hindia-Mata Air_28,mfcc_Hindia-Mata Air_29,mfcc_Hindia-Mata Air_30,mfcc_Hindia-Mata Air_31,mfcc_Hindia-Mata Air_32,mfcc_Hindia-Mata Air_33,mfcc_Hindia-Mata Air_34,mfcc_Hindia-Mata Air_35,mfcc_Hindia-Mata Air_36,mfcc_Hindia-Mata Air_37,mfcc_Hindia-Mata Air_38,mfcc_Hindia-Mata Air_39,mfcc_Hindia-Mata Air_40,mfcc_Hindia-Mata Air_41,mfcc_Hindia-Mata Air_42,mfcc_Hindia-Mata Air_43,mfcc_Hindia-Mata Air_44,mfcc_Hindia-Mata Air_45,mfcc_Hindia-Mata Air_46,mfcc_Hindia-Mata Air_47,mfcc_Hindia-Mata Air_48,mfcc_Hindia-Mata Air_49,mfcc_Hindia-Mata Air_50,mfcc_Hindia-Mata Air_51,mfcc_Hindia-Mata Air_52,mfcc_Hindia-Mata Air_53,mfcc_Hindia-Mata Air_54,mfcc_Hindia-Mata Air_55
1.0,0.5526768,0.6009362,0.55403805,0.55027765,0.46730492,0.4770125,0.5322284,0.44702342,0.52835363,0.517268,0.44224846,0.20863196,0.46545947,0.4924907,0.5318376,0.34959185,0.42732102,0.1118247,0.5986218,0.61534375,0.54163635,0.45765162,0.2363018,0.5049741,0.53131795,0.19481099,0.21071169,0.15688214,0.40368342,0.46148327,0.31260756,0.32079196,0.09215164,0.43713173,0.47310856,0.3209361,0.17260452,0.25082225,0.44049,0.37442297,0.28018683,0.24759473,0.036589764,0.33108145,0.56896025,0.30953017,0.4259039,0.24139887,0.35850066,0.5357342,0.5384331,0.46039733,0.22233063,0.6529508,0.7383804
1.0,0.5833176,0.5889831,0.5498057,0.5506609,0.48439622,0.49742502,0.56587875,0.5668983,0.526387,0.5116519,0.4421123,0.31319883,0.40666574,0.46875915,0.4795033,0.41996953,0.45967788,0.39804634,0.5849485,0.61367327,0.57528025,0.59253997,0.23312235,0.5009639,0.5343536,0.27172703,0.27739757,0.32430086,0.4401313,0.47478887,0.3421619,0.35404533,0.23539434,0.44796443,0.49983805,0.3494844,0.32916045,0.1357997,0.41335574,0.37535176,0.29319802,0.33620492,0.24459296,0.28037024,0.55113184,0.36344108,0.47742757,0.15039884,0.4927563,0.54412013,0.59539497,0.51993626,0.16185331,0.6676806,0.7550002
1.0,0.56092846,0.58245,0.52950466,0.54860175,0.4950027,0.41655073,0.5043886,0.35792637,0.51592904,0.5199413,0.37737,0.20147324,0.36562517,0.4709143,0.49226934,0.36528933,0.35962138,0.1401099,0.59420186,0.6052392,0.5304457,0.4542976,0.23824091,0.46749896,0.47825903,0.2361999,0.29155555,0.107555464,0.34904647,0.4796369,0.32329732,0.22887751,0.0,0.43099916,0.501868,0.28071177,0.21858606,0.13406457,0.338955,0.39338532,0.28539604,0.21725196,0.0646053,0.2911097,0.57395476,0.3131103,0.37655413,0.19670443,0.39983794,0.53146195,0.5201955,0.3815649,0.22983603,0.6736948,0.7639019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005615562,0.0,0.0,0.0,0.0,0.15963152,0.0,0.0,0.0,0.0,0.1687527,0.0,0.0,0.048143297,0.0022127777,0.20361115,0.0,0.0,0.0,0.0,0.26851946,0.0,0.0,0.0,0.041486725,0.33794415,0.048702,0.0,0.0,0.0069800615,0.27294266,0.0,0.0,0.0,0.0,0.17493199,0.0,0.0,0.0,0.0,0.18529826,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68780744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,0.99999994,0.99999994,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0
1.0,0.4870356,0.442025,0.40857336,0.46386835,0.4218775,0.24316859,0.49254447,0.12793139,0.30698442,0.080219835,0.38121533,0.11810566,0.0,0.19597626,0.28508592,0.24956718,0.3554946,0.2076329,0.14656726,0.5361482,0.50929826,0.41027656,0.0,0.13588542,0.2610106,0.0,0.0,0.2150938,0.11587544,0.33107084,0.15719652,0.14990027,0.15196173,0.19660434,0.35531288,0.054350868,0.050069533,0.0066089183,0.0,0.28549206,0.07513493,0.0,0.0,0.027526021,0.48702306,0.08350189,0.39180988,0.017338946,0.09631096,0.455972,0.44396925,0.4330593,0.0,0.5491944,0.62193173
1.0,0.64234847,0.6153224,0.64056504,0.59827495,0.5540439,0.5150447,0.6768948,0.65252256,0.6061132,1.0,0.45521373,0.35610285,0.58965576,0.43455166,0.56956255,0.37746778,0.5216032,0.5966425,0.48376197,0.65400064,0.57581353,0.61078095,0.49400842,0.4849077,0.7707437,0.40222284,0.3121411,0.560392,0.38118327,0.5326158,0.38684726,0.41983843,0.47546786,0.45919937,0.52972674,0.3516428,0.30521017,0.3822465,0.42414454,0.47272575,0.4023366,0.25945187,0.3594535,0.25029176,0.5806941,0.3462075,0.5699638,0.4461553,0.3152157,0.49976146,0.72664505,0.57282513,0.48805183,0.663031,0.7439225
1.0,0.5239849,0.54651254,0.49630567,0.53948396,0.443378,0.38855428,0.5117211,0.16951303,0.38151067,0.26373926,0.29736537,0.08259933,0.032382585,0.25505146,0.41940427,0.25447825,0.26842317,0.059175,0.32851565,0.5747848,0.4805055,0.36753735,0.07651564,0.2776744,0.23264217,0.19628842,0.053405873,0.13246173,0.20516548,0.42262414,0.23267902,0.19289784,0.05998078,0.17814836,0.3686643,0.19771084,0.08031538,0.17336018,0.22573526,0.3599078,0.20772235,0.023075938,0.08768356,0.14891827,0.5214961,0.21344274,0.4003922,0.03726379,0.09461167,0.45267707,0.46003643,0.32934073,0.027424276,0.666128,0.7519635
1.0,0.5325592,0.5455419,0.5220183,0.5220782,0.5762515,0.71027124,0.61192626,0.46993184,0.48111367,0.52259314,0.44848981,0.31245714,0.42021137,0.43464866,0.60824424,0.42656016,0.41655406,0.36957055,0.46399954,0.6333853,0.5159925,0.50761676,0.3731712,0.46349686,0.38782883,0.46452546,0.19462983,0.397684,0.32020304,0.4687121,0.32395858,0.3208781,0.31424654,0.3976474,0.4776184,0.49771607,0.3215828,0.31264406,0.30401677,0.47606945,0.40955174,0.35646403,0.37695828,0.23510548,0.60555476,0.48629075,0.53241754,0.37106544,0.42770645,0.53745013,0.6416833,0.480503,0.39083907,0.65694225,0.7345456
1.0,0.5769552,0.5585739,0.57285273,0.55775964,0.5375309,0.5739502,0.51525563,0.1443554,0.28037593,0.4129929,0.3735632,0.16538665,0.14970924,0.2883797,0.495684,0.24869299,0.30129653,0.0053555965,0.249363,0.5914911,0.48081434,0.35282388,0.11084428,0.2597747,0.5124934,0.3662242,0.17591956,0.058604598,0.20494929,0.41193685,0.40751648,0.17898521,0.034227237,0.17323415,0.38617942,0.26128685,0.0,0.0,0.14785562,0.46934116,0.3308308,0.23193768,0.22112046,0.11630158,0.53481716,0.33825594,0.3593852,0.0,0.014200002,0.49693373,0.5597332,0.36435196,0.051369667,0.6667677,0.74003935
